chord_witness_id	chosen_witness_id	disagree	frame_witness_id	mode	step
witness-bc1189ab7d849e4a940e	witness-8171cd3bc8bcc0698332	True	witness-8171cd3bc8bcc0698332	adaptive_max	1
witness-bc1189ab7d849e4a940e	witness-bc1189ab7d849e4a940e	True	witness-b52d0b7e08c046ac8a39	adaptive_max	2
witness-b8aa9f6601d949890333	witness-b8aa9f6601d949890333	True	witness-b52d0b7e08c046ac8a39	adaptive_max	3
witness-b52d0b7e08c046ac8a39	witness-b52d0b7e08c046ac8a39	False	witness-b52d0b7e08c046ac8a39	adaptive_max	4
witness-fc87ffc6ecad898c2a2e	witness-e38b1197d8a438306e1c	True	witness-e38b1197d8a438306e1c	adaptive_max	5
witness-af3dbff44adfdbdabc83	witness-e540d920dcd590b35122	True	witness-e540d920dcd590b35122	adaptive_max	6
witness-af3dbff44adfdbdabc83	witness-ca83c38f19865894ba98	True	witness-ca83c38f19865894ba98	adaptive_max	7
witness-af3dbff44adfdbdabc83	witness-af3dbff44adfdbdabc83	True	witness-a3cea945262062a9cb24	adaptive_max	8
witness-9969c6a2b624b790a4d0	witness-9969c6a2b624b790a4d0	True	witness-a3cea945262062a9cb24	adaptive_max	9
witness-507ef466388873ca99c4	witness-a3cea945262062a9cb24	True	witness-a3cea945262062a9cb24	adaptive_max	10
witness-507ef466388873ca99c4	witness-fab61b36aa3c185f17e7	True	witness-fab61b36aa3c185f17e7	adaptive_max	11
witness-507ef466388873ca99c4	witness-507ef466388873ca99c4	False	witness-507ef466388873ca99c4	adaptive_max	12
witness-c704055c9c45a9ca01e2	witness-c704055c9c45a9ca01e2	True	witness-a02f933a32a6a3cef0b9	adaptive_max	13
witness-a7096d1d633d01f8bfb9	witness-a7096d1d633d01f8bfb9	True	witness-a02f933a32a6a3cef0b9	adaptive_max	14
witness-ff15580e961722cbc4d9	witness-ff15580e961722cbc4d9	True	witness-a02f933a32a6a3cef0b9	adaptive_max	15
witness-c815c25c56b3c6d56305	witness-c815c25c56b3c6d56305	True	witness-a02f933a32a6a3cef0b9	adaptive_max	16
witness-253d7d90e39575f15aa4	witness-a02f933a32a6a3cef0b9	True	witness-a02f933a32a6a3cef0b9	adaptive_max	17
witness-253d7d90e39575f15aa4	witness-253d7d90e39575f15aa4	False	witness-253d7d90e39575f15aa4	adaptive_max	18
witness-a83fcec618e6b1b2b658	witness-a83fcec618e6b1b2b658	True	witness-e98125a0446d68685b3e	adaptive_max	19
witness-fa6d250544de63aee6d7	witness-fa6d250544de63aee6d7	True	witness-e98125a0446d68685b3e	adaptive_max	20
witness-9f945b258e6fa8bb6672	witness-9f945b258e6fa8bb6672	True	witness-e98125a0446d68685b3e	adaptive_max	21
witness-2808d975f708bde4cbfe	witness-e98125a0446d68685b3e	True	witness-e98125a0446d68685b3e	adaptive_max	22
witness-2808d975f708bde4cbfe	witness-2808d975f708bde4cbfe	False	witness-2808d975f708bde4cbfe	adaptive_max	23
witness-9e11bc0f95efacea6dbc	witness-480a2eea018b5481b2d7	True	witness-480a2eea018b5481b2d7	adaptive_max	24
witness-bc1189ab7d849e4a940e	witness-8171cd3bc8bcc0698332	True	witness-8171cd3bc8bcc0698332	adaptive_frame	1
witness-bc1189ab7d849e4a940e	witness-b52d0b7e08c046ac8a39	True	witness-b52d0b7e08c046ac8a39	adaptive_frame	2
witness-b8aa9f6601d949890333	witness-bc1189ab7d849e4a940e	True	witness-bc1189ab7d849e4a940e	adaptive_frame	3
witness-b8aa9f6601d949890333	witness-e38b1197d8a438306e1c	True	witness-e38b1197d8a438306e1c	adaptive_frame	4
witness-b8aa9f6601d949890333	witness-e540d920dcd590b35122	True	witness-e540d920dcd590b35122	adaptive_frame	5
witness-b8aa9f6601d949890333	witness-ca83c38f19865894ba98	True	witness-ca83c38f19865894ba98	adaptive_frame	6
